orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,mes,dayofyear,estacion,anio,dia_del_anio
22.0,Playa La Balandra,BS093,2022-08-23,2022.0,invierno,7.0,8.0,0.8,6.7,Ausencia,Ausencia,Ausencia,Ausencia,300.0,20.0,20.0,2.0,0.42,0.33,0.23,5.0,30.0,75.0,0.1,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Reserva ecológica ciudad universitaria costanera norte,-34.535.878,-58.445.933,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,139.0,invierno,2022.0,235.0
22.0,Playa La Balandra,BS093,2022-08-23,2022.0,invierno,7.0,8.0,0.8,6.7,Ausencia,Ausencia,Ausencia,Ausencia,300.0,20.0,20.0,2.0,0.42,0.33,0.23,5.0,30.0,75.0,0.1,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Reserva ciudad universitaria: boca de entrada al humedal  desembocadura arroyo white,-34.537.272,-58.448.339,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,139.0,invierno,2022.0,235.0
22.0,Playa La Balandra,BS093,2022-08-23,2022.0,invierno,7.0,8.0,0.8,6.7,Ausencia,Ausencia,Ausencia,Ausencia,300.0,20.0,20.0,2.0,0.42,0.33,0.23,5.0,30.0,75.0,0.1,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Reserva ciudad universitaria: marisma canal de marea principal,-34.538.686,-58.445.589,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,139.0,invierno,2022.0,235.0
22.0,Playa La Balandra,BS093,2022-08-23,2022.0,invierno,7.0,8.0,0.8,6.7,Ausencia,Ausencia,Ausencia,Ausencia,300.0,20.0,20.0,2.0,0.42,0.33,0.23,5.0,30.0,75.0,0.1,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Reserva ciudad universitaria: humedal central   planicie de marea,-34.539.667,-58.443.781,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,139.0,invierno,2022.0,235.0
22.0,Playa La Balandra,BS093,2022-08-23,2022.0,invierno,7.0,8.0,0.8,6.7,Ausencia,Ausencia,Ausencia,Ausencia,300.0,20.0,20.0,2.0,0.42,0.33,0.23,5.0,30.0,75.0,0.1,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Reserva ciudad universitaria: dique sur subsistema laguna,-34.540.675,-584.419,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,139.0,invierno,2022.0,235.0
18.0,Parque de los Niños,CA041,2021-02-24,2021.0,verano,25.2,27.5,4.7,7.6,Ausencia,Ausencia,Ausencia,Ausencia,4000.0,3500.0,40.0,4.2,0.3,0.76,0.38,5.0,50.0,84.0,100.0,10.0,0.018,0.0,0.15,41.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
18.0,Parque de los Niños,CA041,2021-05-19,2021.0,otoño,17.7,19.0,2.2,7.5,Ausencia,Ausencia,Ausencia,Ausencia,200.0,140.0,180.0,10.1,0.77,0.1,0.19,5.0,50.0,17.0,0.1,0.005,0.001,0.36,0.15,33.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
18.0,Parque de los Niños,CA041,2021-08-25,2021.0,invierno,15.2,19.0,6.9,7.6,Ausencia,Ausencia,Ausencia,Ausencia,50000.0,11000.0,4100.0,4.2,3.09,0.1,0.38,5.0,50.0,32.0,100.0,0.01,0.001,0.01,0.2,37.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
18.0,Parque de los Niños,CA041,2021-10-27,2021.0,primavera,24.7,19.0,7.2,7.7,Ausencia,Ausencia,Ausencia,Ausencia,23000.0,2500.0,5200.0,5.3,1.6,0.27,0.33,4.2,41.0,16.0,100.0,0.005,0.001,0.01543,0.2,39.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
19.0,Costanera Norte - Espigón Abanico,CA044,2021-02-24,2021.0,verano,26.1,27.5,4.7,7.4,Ausencia,Ausencia,Ausencia,Ausencia,25000.0,3800.0,370.0,3.4,1.2,0.64,0.11,5.0,50.0,59.0,100.0,10.0,0.019,0.001,0.15,34.0,Extremadamente deteriorada,CABA,Costanera norte espigón abanico,-34.547.089,-58.430.231,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
